song_id,peak_position,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
7lAK3oHbfEnvUQWosrMMpR,76,0.283,0.785,0.554,3.4e-06,0.116,-6.571,0.0409,0.144,128.047
68JS5SFTnW5Yv9Vzw81Jf0,6,0.165,0.602,0.463,0.00968,0.0975,-9.666,0.0279,0.454,142.635
3Ol2xnObFdKV9pmRD2t9x8,6,0.407,0.791,0.587,0.0,0.148,-5.075,0.0413,0.536,96.057
6XcfKZvJio9Z0fQy11GnNX,72,0.00175,0.666,0.728,4.26e-06,0.0429,-5.808,0.0419,0.51,122.996
7uqcLJFlSYjVPLUz1vPxkY,53,0.795,0.712,0.374,0.0,0.187,-10.215,0.511,0.779,133.952
5OCJzvD7sykQEKHH7qAC3C,93,0.0233,0.602,0.658,6e-05,0.237,-5.934,0.0558,0.268,145.031
4axYWgXASdsCBHuwInAubT,50,0.591,0.797,0.293,0.0724,0.148,-7.479,0.08,0.478,80.035
5lar0mCUejpILVkAz50s2J,37,0.564,0.492,0.712,9.1e-05,0.357,-7.278,0.691,0.23,137.453
57nOpVSc3j9o03Cr928ZM4,36,0.774,0.639,0.312,0.469,0.0857,-9.902,0.0301,0.347,103.369
4KpKyRFwN0gcwj58Uqjv7q,33,0.134,0.557,0.338,0.00184,0.14,-9.892,0.0257,0.689,140.935
07FkzikE6FuHIa8Ma7zJGc,53,0.161,0.753,0.66,0.0,0.236,-6.542,0.133,0.182,95.003
5itzep0nGnq7hxCfFNsTIR,17,0.949,0.593,0.0668,1.31e-05,0.194,-15.268,0.0722,0.19,102.456
5c0Vl3yklw5WX9YI36dPLd,45,0.0288,0.803,0.648,0.0,0.0904,-9.185,0.198,0.538,131.925
3EQ9QP2E7wjYQba8OSPBst,46,0.0557,0.678,0.76,0.0,0.359,-5.546,0.221,0.24,96.044
6pUBrvKfJL4qmn95mxU7rC,44,0.0871,0.603,0.67,0.0,0.326,-4.809,0.25,0.159,89.842
45CCe4gu08OYG1I4MH8TU6,40,0.0284,0.682,0.639,0.0,0.197,-4.406,0.292,0.183,89.09
1bx4Jw8A7GQtImIQGccI6D,28,0.246,0.49,0.651,0.0,0.233,-6.24,0.251,0.46,164.213
3EikYy40GMSp8l5mDV6IQo,20,0.257,0.881,0.623,1.5e-06,0.0964,-9.662,0.119,0.745,88.953
39RWYLt6hgk9BbhkDgaHW9,19,0.0171,0.92,0.458,0.0,0.107,-5.643,0.315,0.403,132.992
0jqLv5PuEUA0GthFjdtlS1,16,0.593,0.609,0.836,0.0,0.466,-3.442,0.264,0.584,72.099
7cW1wHpSLYgKWzoWlOCPFJ,10,0.106,0.672,0.565,0.0,0.113,-6.504,0.441,0.313,163.827
52i143Ph5c3RQaQFBXWix1,3,0.0562,0.888,0.432,0.0,0.112,-9.275,0.0934,0.173,99.965
2G7V7zsVDxg1yRsu7Ew9RJ,100,0.0589,0.835,0.626,6e-05,0.396,-5.833,0.125,0.35,91.03
2Kpc6hdJqHCG2tt0JW9pyl,73,0.00245,0.544,0.854,1.2e-06,0.249,-4.968,0.0289,0.436,91.966
42fw0rxRO2xbesF6mJfd4Y,80,0.0312,0.489,0.581,0.0,0.132,-5.731,0.0281,0.494,86.016
0TlLq3lA83rQOYtrqBqSct,99,0.0164,0.912,0.412,0.013,0.104,-8.074,0.124,0.422,154.983
0At2qAoaVjIwWNAqrscXli,96,0.0862,0.561,0.779,0.0,0.078,-5.107,0.0531,0.235,81.965
5aXgz1oKK8Q9z9xvTmSnrO,49,0.00587,0.755,0.615,1.75e-06,0.109,-8.245,0.0454,0.039,105.955
7wC5eZcFS1Q1BsQ35DU6H4,32,0.693,0.64,0.321,0.0307,0.114,-14.604,0.0931,0.177,145.045
04ZTP5KsCypmtCmQg5tH9R,66,0.00281,0.63,0.694,0.0,0.0719,-6.257,0.0253,0.216,97.005
6CyJlVAEFlNdpggOLanytL,38,0.0651,0.434,0.831,0.0,0.119,-4.774,0.0453,0.596,156.034
4H0vNUFcHPz5lytcLjwqkr,39,0.0445,0.565,0.855,0.0,0.32,-4.189,0.0557,0.852,74.98
2oPCR02nduYVpj7CTfsA0d,49,0.0183,0.455,0.897,0.0,0.174,-4.879,0.0403,0.728,160.139
7hDVYcQq6MxkdJGweuCtl9,5,0.816,0.511,0.363,0.0317,0.084,-7.65,0.041,0.169,144.892
7zLYKWcXnYeHHWidalz7rj,21,0.462,0.699,0.558,0.0,0.116,-7.622,0.0603,0.493,79.992
1wjzFQodRWrPcQ0AnYnvQ9,74,0.535,0.752,0.505,2.55e-06,0.104,-7.621,0.253,0.419,91.97
3ee8Jmje8o58CHK66QrVC2,100,0.258,0.74,0.613,0.00372,0.123,-4.88,0.145,0.473,75.023
3z8h0TU7ReDPLIbEnYhWZb,99,0.287,0.39,0.397,0.0,0.207,-9.963,0.0513,0.246,144.031
1XJBDDpeuZaj5fvmwhdIMw,20,0.114,0.66,0.615,0.0,0.315,-7.2,0.47,0.501,174.034
2VX37A1p7tkvrH2UJwAU0T,33,0.0716,0.711,0.796,0.0045,0.262,-5.87,0.0341,0.901,109.991
4u8Gkqyg87iGSW3hQbbnQZ,1,0.0364,0.454,0.66,0.0,0.181,-4.357,0.168,0.568,184.353
0AcicReEGm1qcENjqzh1Tg,28,0.136,0.544,0.524,0.0,0.106,-7.914,0.0621,0.117,81.982
2RSHsoi04658QL5xgQVov3,22,0.0722,0.383,0.637,0.0,0.368,-6.993,0.0703,0.0827,177.913
2rbDhOo9Fh61Bbu23T2qCk,60,0.299,0.553,0.502,0.0,0.764,-5.972,0.0409,0.296,129.976
1SxagO9GK0UUeEYLmH8Pln,3,0.0555,0.728,0.517,1.95e-06,0.107,-11.404,0.0629,0.379,111.974
0OgGn1ofaj55l2PcihQQGV,55,0.493,0.763,0.572,0.00118,0.106,-7.312,0.0595,0.25,151.93
514rhnksEwHUh6LxXsQ4Y9,83,0.0984,0.6,0.683,1.26e-06,0.11,-6.271,0.0493,0.494,102.036
6NFyWDv5CjfwuzoCkw47Xf,89,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,0.0499,95.045
1fvCggAYrW0VtCljtqv4h2,47,0.175,0.854,0.708,0.0,0.241,-5.805,0.244,0.172,118.032
33471tzU1VghDg9zNgGRpz,53,0.152,0.758,0.867,0.0,0.308,-5.087,0.0475,0.964,102.018
1jo3TwNGCXfNdB5uba3ZVv,98,0.0989,0.892,0.651,0.0,0.371,-8.645,0.378,0.599,105.814
1B4gJRq61xTs6r1O0Uq2iY,2,0.525,0.921,0.607,1.12e-06,0.123,-7.397,0.209,0.753,140.071
7azo4rpSUh8nXgtonC6Pkq,97,0.0816,0.764,0.887,0.000108,0.847,-3.725,0.0738,0.721,118.421
09IStsImFySgyp0pIQdqAc,96,0.171,0.753,0.657,0.0,0.112,-3.061,0.0449,0.437,107.01
1kFBLqkTuNKlspkJ1EOGjN,22,0.794,0.485,0.306,0.0,0.122,-8.431,0.0409,0.224,203.729
0oagwWkGlBoACUuKvTmqZV,11,0.272,0.312,0.499,0.0,0.0901,-6.282,0.0397,0.191,148.173
0Fpen1PTuEnCmOJtUU9Iud,77,0.0367,0.85,0.785,0.0,0.155,-4.963,0.345,0.718,145.063
7uVkYr8gxcPEgqohvynpdN,52,0.456,0.51,0.386,0.0,0.252,-8.391,0.0307,0.266,86.36
3to5UxKsozb4T6CfwHuhLJ,4,0.301,0.792,0.571,0.0,0.1,-7.539,0.094,0.556,99.999
2qT1uLXPVPzGgFOx4jtEuo,98,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0.0594,0.354,121.993
2vs5ubqg8QUbfyWZpMfvWe,19,0.0402,0.732,0.586,2.66e-06,0.121,-7.868,0.232,0.73,76.48
7stcuQtnHL7C6XdPvpwywv,12,0.552,0.487,0.458,0.0257,0.117,-7.761,0.0371,0.207,115.989
2EhJijFUs0WUmNClDBpYJq,9,0.122,0.75,0.387,0.0,0.0993,-10.123,0.487,0.739,143.019
7jr3iPu4O4bTCVwLMbdU2i,8,0.0658,0.678,0.729,0.0,0.303,-4.188,0.137,0.643,99.895
3ZPKocroJIcnHGcnJVlLKD,50,0.205,0.534,0.784,0.00579,0.106,-3.59,0.0339,0.6,92.147
